GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01000437.1	149	150	81	80	70	68
CVRK01000438.1	129	132	196	169	101	104
CVRK01000439.1	7	7	6	6	8	6
CVRK01000440.1	96	87	23	34	2	1
CVRK01000441.1	0	0	1	1	0	0
CVRK01000442.1	1072	1035	173	173	72	68
CVRK01000443.1	110	122	100	93	49	39
CVRK01000444.1	28	24	33	33	42	46
CVRK01000445.1	0	0	0	0	0	0
CVRK01000446.1	1	2	2	3	0	0
CVRK01000447.1	12	15	28	18	18	20
CVRK01000448.1	6	8	17	13	4	3
CVRK01000449.1	9	12	10	12	5	5
CVRK01000450.1	13	17	5	2	3	2
CVRK01000451.1	8	12	1	1	0	0
CVRK01000452.1	42	42	4	2	6	6
CVRK01000453.1	1	2	2	3	0	1
CVRK01000454.1	162	160	3	3	0	0
CVRK01000455.1	84	89	0	1	0	0
CVRK01000456.1	0	0	0	0	0	0
CVRK01000457.1	31	29	15	13	2	3
CVRK01000458.1	50	47	23	17	35	39
CVRK01000459.1	0	0	1	1	0	0
CVRK01000460.1	9	9	7	4	0	0
CVRK01000461.1	0	0	0	0	0	0
CVRK01000462.1	5	1	3	4	1	0
CVRK01000463.1	3	3	5	4	0	0
CVRK01000464.1	0	0	0	0	0	0
CVRK01000465.1	15	9	4	4	0	0
CVRK01000466.1	0	0	0	0	0	0
CVRK01000467.1	64	62	12	13	3	3
CVRK01000468.1	8	9	4	2	9	7
CVRK01000469.1	0	0	8	7	9	8
CVRK01000470.1	61	63	83	88	64	55
CVRK01000471.1	41	44	29	24	13	18
CVRK01000472.1	9059	8677	11269	10906	3306	3185
CVRK01000473.1	0	0	0	0	0	0
CVRK01000474.1	7	3	1	2	8	13
CVRK01000475.1	1658	1598	1706	1682	728	709
CVRK01000476.1	349	343	90	85	10	8
CVRK01000477.1	0	0	3	2	0	0
CVRK01000478.1	89	93	7	7	32	27
CVRK01000480.1	186	184	15	16	62	60
CVRK01000481.1	8	10	3	3	0	0
CVRK01000482.1	8	6	12	4	7	9
CVRK01000483.1	40	45	38	37	2	2
CVRK01000484.1	134	113	70	78	7	12
CVRK01000485.1	449	436	232	230	56	54
CVRK01000486.1	153	139	85	95	32	32
CVRK01000487.1	5	5	3	3	1	1
CVRK01000488.1	256	246	242	227	158	149
CVRK01000489.1	50	43	51	59	31	42
CVRK01000490.1	39	47	24	24	25	22
CVRK01000491.1	5	4	0	0	0	1
CVRK01000492.1	0	0	0	0	0	0
CVRK01000493.1	259	239	842	774	425	419
CVRK01000494.1	1	1	0	0	0	0
CVRK01000495.1	1	1	1	1	0	0
CVRK01000496.1	41	40	48	49	53	57
CVRK01000497.1	36	39	31	36	20	18
CVRK01000498.1	23	22	51	46	54	48
CVRK01000499.1	14	8	0	0	0	0
CVRK01000500.1	22	20	5	7	0	0
CVRK01000501.1	148	146	37	41	7	6
CVRK01000502.1	58	53	50	49	19	16
CVRK01000503.1	7	9	17	12	9	4
CVRK01000505.1	2	2	3	4	0	0
CVRK01000506.1	1	1	7	7	1	0
CVRK01000507.1	292	280	34	31	21	22
CVRK01000508.1	98	84	22	21	19	18
CVRK01000509.1	5	6	2	4	2	2
CVRK01000510.1	1	5	4	5	0	0
CVRK01000511.1	6	5	3	2	0	0
CVRK01000512.1	474	470	2088	1986	1281	1294
CVRK01000514.1	159	153	55	54	44	45
CVRK01000515.1	120	123	0	0	2	3
CVRK01000517.1	210	197	55	47	8	6
CVRK01000518.1	15	12	4	5	1	0
CVRK01000519.1	167	156	108	101	21	20
CVRK01000520.1	319	297	3	3	0	0
CVRK01000521.1	5	5	0	0	0	0
CVRK01000522.1	0	0	0	0	0	0
CVRK01000523.1	36	32	3	1	2	1
CVRK01000524.1	7	15	13	11	13	11
CVRK01000525.1	0	0	0	0	0	0
CVRK01000526.1	0	0	0	0	0	0
CVRK01000527.1	0	0	0	1	0	0
CVRK01000528.1	13	14	0	0	0	0
CVRK01000529.1	2	2	0	0	1	1
CVRK01000530.1	1	1	0	0	3	3
CVRK01000531.1	6	6	2	2	0	0
CVRK01000532.1	578	562	290	281	302	301
CVRK01000533.1	95	78	40	38	25	20
CVRK01000534.1	119	111	36	40	17	12
CVRK01000535.1	6	6	0	0	0	0
CVRK01000536.1	71	70	29	25	6	4
CVRK01000537.1	38	39	10	8	0	0
CVRK01000538.1	0	0	1	1	0	0
CVRK01000539.1	1	1	6	2	0	0
CVRK01000541.1	93	87	0	0	0	0
CVRK01000542.1	4	7	0	0	0	0
CVRK01000543.1	43	43	19	19	7	5
CVRK01000544.1	0	0	1	1	0	0
CVRK01000545.1	648	628	435	423	164	157
CVRK01000546.1	6	12	1	0	1	1
CVRK01000547.1	10	9	2	1	0	0
CVRK01000548.1	19	17	3	5	6	6
CVRK01000549.1	26	25	1	4	2	1
CVRK01000550.1	340	327	315	300	328	320
CVRK01000551.1	32	30	13	13	12	10
CVRK01000552.1	3	3	3	4	0	0
CVRK01000553.1	19	19	7	2	6	1
CVRK01000554.1	111	108	82	80	48	43
CVRK01000555.1	115	120	382	376	1371	1343
CVRK01000556.1	33	31	30	31	15	12
CVRK01000557.1	26	30	23	27	25	26
CVRK01000558.1	4	3	2	2	0	1
CVRK01000559.1	0	0	0	0	0	1
CVRK01000560.1	773	736	710	695	227	215
CVRK01000561.1	1771	1722	4509	4459	2528	2445
CVRK01000562.1	0	1	3	3	1	0
CVRK01000563.1	57	61	22	19	30	26
CVRK01000564.1	518	513	181	176	348	329
CVRK01000565.1	28	27	18	22	72	75
CVRK01000566.1	6	4	0	0	0	0
CVRK01000567.1	1	1	2	2	1	0
CVRK01000569.1	16	17	49	52	53	44
CVRK01000570.1	200	191	129	132	124	123
CVRK01000571.1	108	107	8	12	13	13
CVRK01000572.1	1	0	0	0	0	0
CVRK01000573.1	107	106	15	19	5	4
CVRK01000574.1	7	7	2	1	1	0
CVRK01000575.1	3	3	2	1	1	1
CVRK01000576.1	15	14	9	10	0	0
CVRK01000577.1	0	0	0	0	0	0
CVRK01000578.1	30	26	10	8	0	1
CVRK01000579.1	16	22	8	7	0	0
CVRK01000580.1	164	160	72	67	41	42
CVRK01000581.1	6	8	2	5	0	1
CVRK01000582.1	29	29	16	16	1	1
CVRK01000584.1	40	39	13	14	14	10
CVRK01000585.1	29	34	19	10	1	0
CVRK01000586.1	160	153	70	68	38	39
CVRK01000587.1	0	0	0	0	0	0
CVRK01000588.1	59	71	39	30	18	19
CVRK01000589.1	25	29	14	6	23	24
CVRK01000590.1	2	4	3	2	1	2
CVRK01000591.1	6	5	16	15	0	0
CVRK01000592.1	7	19	16	9	15	19
CVRK01000593.1	23	20	12	10	4	6
CVRK01000594.1	8	10	21	23	3	2
CVRK01000595.1	9	9	15	12	14	14
CVRK01000596.1	7	6	1	3	2	4
CVRK01000597.1	2	2	0	0	0	0
CVRK01000598.1	28	27	23	26	5	8
CVRK01000599.1	2	2	0	0	0	0
CVRK01000600.1	68	56	44	40	23	13
CVRK01000601.1	51	67	40	43	23	33
CVRK01000602.1	44	45	2	3	0	0
CVRK01000603.1	27	23	8	8	6	5
CVRK01000604.1	10	9	1	0	0	0
CVRK01000605.1	0	0	0	0	0	0
CVRK01000606.1	1	1	2	4	4	3
CVRK01000607.1	1389	1317	12	15	8	6
CVRK01000608.1	62	55	55	63	0	1
CVRK01000609.1	42	45	69	74	28	27
CVRK01000611.1	253	240	615	602	292	281
CVRK01000612.1	39	36	11	12	4	3
CVRK01000613.1	15	21	2	2	1	0
CVRK01000614.1	0	0	0	0	0	0
CVRK01000615.1	11	10	0	1	1	1
CVRK01000616.1	75	71	23	23	17	15
CVRK01000617.1	364	354	692	661	587	579
CVRK01000618.1	0	1	0	0	1	1
CVRK01000619.1	2	3	3	2	8	5
CVRK01000620.1	0	0	1	1	7	4
CVRK01000621.1	109	104	626	611	384	376
CVRK01000622.1	36	34	18	15	13	13
CVRK01000623.1	0	0	0	0	0	0
CVRK01000624.1	89	102	31	20	3	3
CVRK01000625.1	4	2	7	6	0	0
CVRK01000626.1	2	1	0	1	0	0
CVRK01000627.1	37	29	16	11	2	4
CVRK01000628.1	555	549	159	155	74	74
