GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017622342.1_166	24	22	25	28	10	12
lcl|NC_030664.1_cds_XP_017612677.1_169	181	117	189	192	273	181
lcl|NC_030664.1_cds_XP_017631914.1_170	321	187	201	165	117	74
lcl|NC_030664.1_cds_XP_017605275.1_171	32	19	21	30	21	12
lcl|NC_030664.1_cds_XP_017629704.1_172	1	0	0	4	2	0
lcl|NC_030664.1_cds_XP_017640323.1_173	903	591	174	196	1045	563
lcl|NC_030664.1_cds_XP_017612708.1_174	135	96	184	178	159	91
lcl|NC_030664.1_cds_XP_017612580.1_175	138	96	160	96	169	106
lcl|NC_030664.1_cds_XP_017624183.1_176	322	144	165	232	120	131
lcl|NC_030664.1_cds_XP_017645369.1_177	5	0	18	9	20	5
lcl|NC_030664.1_cds_XP_017602790.1_178	1759	1044	1269	2039	2867	1957
lcl|NC_030664.1_cds_XP_017602778.1_179	257	214	316	214	241	199
lcl|NC_030664.1_cds_XP_017606145.1_180	596	398	589	632	449	304
lcl|NC_030664.1_cds_XP_017640538.1_181	286	241	141	169	123	68
lcl|NC_030664.1_cds_XP_017629715.1_182	6	3	4	1	1	0
lcl|NC_030664.1_cds_XP_017640101.1_183	49	41	1	0	34	36
lcl|NC_030664.1_cds_XP_017644560.1_184	0	0	0	1	0	0
lcl|NC_030664.1_cds_XP_017644515.1_185	24	6	14	22	21	9
lcl|NC_030664.1_cds_XP_017639660.1_186	6	13	82	52	1	1
lcl|NC_030664.1_cds_XP_017614086.1_187	184	99	278	284	200	164
lcl|NC_030664.1_cds_XP_017642541.1_190	1	0	2	4	5	1
lcl|NC_030664.1_cds_XP_017645661.1_191	126	88	215	170	179	98
lcl|NC_030664.1_cds_XP_017604689.1_192	307	189	262	200	259	262
lcl|NC_030664.1_cds_XP_017629724.1_195	2	1	6	0	0	0
lcl|NC_030664.1_cds_XP_017609729.1_196	194	121	235	202	50	39
lcl|NC_030664.1_cds_XP_017625874.1_197	82	58	91	90	74	55
lcl|NC_030664.1_cds_XP_017622527.1_198	8	6	12	15	11	1
lcl|NC_030664.1_cds_XP_017622519.1_199	8	9	8	11	13	7
lcl|NC_030664.1_cds_XP_017636328.1_200	50	42	131	144	104	65
lcl|NC_030664.1_cds_XP_017636397.1_201	61	32	154	182	88	63
lcl|NC_030664.1_cds_XP_017604393.1_203	483	247	392	275	419	450
lcl|NC_030664.1_cds_XP_017604454.1_207	533	258	294	398	300	189
lcl|NC_030664.1_cds_XP_017604447.1_208	294	216	235	259	455	274
lcl|NC_030664.1_cds_XP_017647700.1_209	13	8	2	0	1	0
lcl|NC_030664.1_cds_XP_017622593.1_210	29	18	21	18	36	16
lcl|NC_030664.1_cds_XP_017622600.1_211	23	19	21	23	32	17
lcl|NC_030664.1_cds_XP_017639792.1_212	111	60	52	58	139	78
lcl|NC_030664.1_cds_XP_017639823.1_213	63	59	7	7	56	50
lcl|NC_030664.1_cds_XP_017648932.1_214	5	3	0	0	1	1
lcl|NC_030664.1_cds_XP_017648906.1_215	5	2	0	0	3	4
lcl|NC_030664.1_cds_XP_017648913.1_216	3	3	2	0	7	2
lcl|NC_030664.1_cds_XP_017648944.1_217	107	28	45	38	49	55
lcl|NC_030664.1_cds_XP_017648885.1_218	775	554	1017	636	674	481
lcl|NC_030664.1_cds_XP_017611982.1_220	664	439	688	827	1164	700
lcl|NC_030664.1_cds_XP_017611970.1_222	74	58	63	40	41	42
lcl|NC_030664.1_cds_XP_017627049.1_223	941	558	400	524	462	255
lcl|NC_030664.1_cds_XP_017608870.1_224	336	233	307	230	261	175
lcl|NC_030664.1_cds_XP_017626150.1_225	26	15	15	20	0	3
lcl|NC_030664.1_cds_XP_017644867.1_226	61	27	51	74	90	50
lcl|NC_030664.1_cds_XP_017629734.1_227	0	2	0	0	0	0
lcl|NC_030664.1_cds_XP_017642922.1_228	283	129	105	152	120	92
lcl|NC_030664.1_cds_XP_017640369.1_229	332	205	106	120	119	69
lcl|NC_030664.1_cds_XP_017627828.1_230	73	46	67	43	57	22
lcl|NC_030664.1_cds_XP_017606262.1_231	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606148.1_232	94	58	73	84	41	35
lcl|NC_030664.1_cds_XP_017643713.1_233	1	0	4	5	3	8
lcl|NC_030664.1_cds_XP_017648510.1_234	125	64	252	294	415	249
lcl|NC_030664.1_cds_XP_017620092.1_235	36	25	35	42	61	61
lcl|NC_030664.1_cds_XP_017627060.1_236	47	36	148	139	452	222
lcl|NC_030664.1_cds_XP_017647914.1_237	4	1	1	0	0	0
lcl|NC_030664.1_cds_XP_017617222.1_238	36	27	31	39	27	30
lcl|NC_030664.1_cds_XP_017629280.1_239	8	9	20	18	20	21
lcl|NC_030664.1_cds_XP_017605455.1_241	224	146	308	260	258	176
lcl|NC_030664.1_cds_XP_017605462.1_242	198	143	263	205	185	158
