GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000509.1	0	0	0	0	0	0	2	0
CVRK01000510.1	0	0	0	0	0	0	4	0
CVRK01000511.1	0	0	0	0	0	0	3	0
CVRK01000512.1	787	0	607	0	171	1	522	0
CVRK01000514.1	0	0	0	0	0	0	55	0
CVRK01000515.1	0	0	0	0	0	0	0	0
CVRK01000517.1	0	0	0	0	0	0	55	0
CVRK01000518.1	0	0	0	0	0	0	4	0
CVRK01000519.1	0	0	0	0	0	0	108	0
CVRK01000520.1	0	0	0	0	0	0	3	0
CVRK01000521.1	0	0	0	0	0	0	0	0
CVRK01000522.1	0	0	0	0	0	0	0	0
CVRK01000523.1	0	0	0	0	0	0	3	0
CVRK01000524.1	0	0	0	0	0	0	13	0
CVRK01000525.1	0	0	0	0	0	0	0	0
CVRK01000526.1	0	0	0	0	0	0	0	0
CVRK01000527.1	0	0	0	0	0	0	0	0
CVRK01000528.1	0	0	0	0	0	0	0	0
CVRK01000529.1	0	0	0	0	0	0	0	0
CVRK01000530.1	0	0	0	0	0	0	0	0
CVRK01000531.1	0	0	0	0	0	0	2	0
CVRK01000532.1	0	0	0	0	0	0	290	0
CVRK01000533.1	0	0	0	0	0	0	40	0
CVRK01000534.1	0	0	0	0	0	0	36	0
CVRK01000535.1	0	0	0	0	0	0	0	0
CVRK01000536.1	0	0	0	0	0	0	29	0
CVRK01000537.1	0	0	0	0	0	0	10	0
CVRK01000538.1	0	0	0	0	0	0	1	0
CVRK01000539.1	0	0	0	0	0	0	6	0
CVRK01000541.1	0	0	0	0	0	0	0	0
