GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000357.1	0	0	0	0	0	0	0	0
CVRK01000358.1	0	0	0	0	0	0	16	0
CVRK01000359.1	0	0	0	0	0	0	36	0
CVRK01000360.1	0	0	0	0	0	0	1	0
CVRK01000361.1	0	0	0	0	0	0	0	0
CVRK01000362.1	0	0	0	0	0	0	4	0
CVRK01000363.1	0	0	0	0	0	0	3	0
CVRK01000364.1	0	0	0	0	0	0	28	0
CVRK01000365.1	0	0	0	0	0	0	0	0
CVRK01000366.1	0	0	0	0	0	0	262	0
CVRK01000367.1	0	0	0	0	0	0	2	0
CVRK01000369.1	1383	6	894	7	1446	99	1702	6
CVRK01000370.1	0	0	0	0	0	0	4	0
CVRK01000371.1	32	1	40	2	206	6	431	6
CVRK01000372.1	0	0	0	0	0	0	72	0
CVRK01000373.1	0	0	0	0	0	0	4	0
CVRK01000374.1	67	1	69	2	17	0	1531	0
CVRK01000375.1	0	0	0	0	0	0	19	0
CVRK01000377.1	0	0	0	0	0	0	2	0
CVRK01000378.1	0	0	0	0	0	0	68	0
CVRK01000379.1	0	0	0	0	0	0	1	0
CVRK01000380.1	0	0	0	0	0	0	7	0
CVRK01000381.1	0	0	0	0	0	0	3	0
CVRK01000382.1	0	0	0	0	0	0	0	0
CVRK01000383.1	0	0	0	0	0	0	4	0
CVRK01000384.1	0	0	0	0	0	0	0	0
CVRK01000385.1	0	0	0	0	0	0	20	0
CVRK01000386.1	0	0	0	0	0	0	3	0
CVRK01000387.1	0	0	0	0	0	0	2	0
CVRK01000388.1	0	0	0	0	0	0	0	0
CVRK01000389.1	0	0	0	0	0	0	7	0
CVRK01000390.1	0	0	0	0	0	0	0	0
CVRK01000391.1	0	0	0	0	0	0	25	0
CVRK01000392.1	0	0	0	0	0	0	1	0
CVRK01000393.1	0	0	0	0	0	0	9	0
CVRK01000394.1	0	0	0	0	0	0	98	0
CVRK01000395.1	0	0	0	0	0	0	182	0
CVRK01000396.1	0	0	0	0	0	0	26	0
CVRK01000398.1	0	0	0	0	0	0	2	0
CVRK01000399.1	0	0	0	0	0	0	1	0
CVRK01000400.1	0	0	0	0	0	0	0	0
CVRK01000401.1	0	0	0	0	0	0	0	0
CVRK01000402.1	0	0	0	0	0	0	390	0
CVRK01000403.1	0	0	0	0	0	0	1	0
CVRK01000404.1	0	0	0	0	0	0	0	0
CVRK01000405.1	0	0	0	0	0	0	28	0
CVRK01000406.1	0	0	0	0	0	0	3	0
CVRK01000407.1	0	0	0	0	0	0	2	0
CVRK01000408.1	0	0	0	0	0	0	29	0
CVRK01000409.1	0	0	0	0	0	0	29	0
CVRK01000410.1	0	0	0	0	0	0	1	0
CVRK01000411.1	0	0	0	0	0	0	36	0
CVRK01000412.1	0	0	0	0	0	0	4	0
CVRK01000413.1	0	0	0	0	0	0	31	0
CVRK01000414.1	0	0	0	0	0	0	0	0
CVRK01000416.1	0	0	0	0	0	0	6	0
CVRK01000417.1	0	0	0	0	0	0	32	0
CVRK01000418.1	0	0	0	0	0	0	75	0
CVRK01000419.1	0	0	0	0	0	0	12	0
CVRK01000420.1	0	0	0	0	0	0	1	0
CVRK01000421.1	0	0	0	0	0	0	5	0
CVRK01000422.1	0	0	0	0	0	0	2	0
CVRK01000423.1	0	0	0	0	0	0	6	0
CVRK01000424.1	0	0	0	0	0	0	49	0
CVRK01000425.1	0	0	0	0	0	0	1	0
CVRK01000426.1	7	0	24	0	197	5	369	0
CVRK01000427.1	0	0	0	0	0	0	0	0
CVRK01000428.1	0	0	0	0	0	0	248	0
CVRK01000429.1	0	0	0	0	0	0	3	0
CVRK01000430.1	0	0	0	0	0	0	2	0
CVRK01000431.1	0	0	0	0	0	0	0	0
CVRK01000432.1	0	0	0	0	0	0	50	0
CVRK01000433.1	0	0	0	0	0	0	0	0
CVRK01000434.1	0	0	0	0	0	0	23	0
CVRK01000435.1	0	0	0	0	0	0	102	0
CVRK01000436.1	0	0	0	0	0	0	17	0
CVRK01000437.1	0	0	0	0	0	0	124	0
CVRK01000438.1	0	0	0	0	0	0	156	0
CVRK01000439.1	0	0	0	0	0	0	5	0
CVRK01000440.1	0	0	0	0	0	0	23	0
CVRK01000441.1	0	0	0	0	0	0	1	0
CVRK01000442.1	0	0	0	0	0	0	745	0
CVRK01000443.1	0	0	40	0	32	3	2	0
CVRK01000444.1	0	0	0	0	0	0	32	0
CVRK01000445.1	0	0	0	0	0	0	0	0
CVRK01000446.1	0	0	0	0	0	0	1	0
CVRK01000447.1	0	0	0	0	0	0	39	0
CVRK01000448.1	0	0	0	0	0	0	2	0
CVRK01000449.1	0	0	0	0	0	0	12	0
CVRK01000450.1	0	0	0	0	0	0	18	0
CVRK01000451.1	0	0	0	0	0	0	2	0
CVRK01000452.1	0	0	0	0	0	0	19	0
CVRK01000453.1	0	0	0	0	0	0	5	0
CVRK01000454.1	0	0	0	0	0	0	220	0
CVRK01000455.1	0	0	0	0	0	0	59	0
CVRK01000456.1	0	0	0	0	0	0	0	0
CVRK01000457.1	0	0	0	0	0	0	25	0
CVRK01000458.1	0	0	0	0	0	0	34	0
CVRK01000459.1	0	0	0	0	0	0	0	0
CVRK01000460.1	0	0	0	0	0	0	6	0
CVRK01000461.1	0	0	0	0	0	0	0	0
CVRK01000462.1	0	0	0	0	0	0	8	0
CVRK01000463.1	0	0	0	0	0	0	5	0
CVRK01000464.1	0	0	0	0	0	0	0	0
CVRK01000465.1	0	0	0	0	0	0	10	0
CVRK01000466.1	0	0	0	0	0	0	1	0
CVRK01000467.1	0	0	0	0	0	0	22	0
CVRK01000468.1	0	0	0	0	0	0	2	0
CVRK01000469.1	0	0	0	0	0	0	16	0
CVRK01000470.1	0	0	0	0	0	0	72	0
CVRK01000471.1	0	0	0	0	0	0	32	0
CVRK01000472.1	1141	173	1033	8	725	44	1266	18
CVRK01000473.1	0	0	0	0	0	0	1	0
CVRK01000474.1	0	0	0	0	0	0	3	0
CVRK01000475.1	753	17	701	159	239	20	110	21
CVRK01000476.1	0	0	0	0	0	0	156	0
CVRK01000477.1	0	0	0	0	0	0	1	0
CVRK01000478.1	0	0	0	0	0	0	226	0
CVRK01000480.1	0	0	0	0	0	0	59	0
CVRK01000481.1	0	0	0	0	0	0	2	0
CVRK01000482.1	0	0	0	0	0	0	32	0
CVRK01000483.1	0	0	0	0	0	0	26	0
CVRK01000484.1	0	0	0	0	0	0	77	0
CVRK01000485.1	0	0	0	0	0	0	301	0
CVRK01000486.1	0	0	0	0	0	0	84	0
CVRK01000487.1	0	0	0	0	0	0	2	0
CVRK01000488.1	0	0	0	0	16	0	158	0
CVRK01000489.1	2	0	12	0	18	2	5	0
CVRK01000490.1	0	0	0	0	0	0	49	0
CVRK01000491.1	0	0	0	0	0	0	2	0
CVRK01000492.1	0	0	0	0	0	0	0	0
CVRK01000493.1	46	2	80	3	59	4	69	0
CVRK01000494.1	0	0	0	0	0	0	0	0
CVRK01000495.1	0	0	0	0	0	0	2	0
CVRK01000496.1	0	0	0	0	0	0	58	0
CVRK01000497.1	0	0	0	0	0	0	41	0
CVRK01000498.1	0	0	0	0	0	0	34	0
CVRK01000499.1	0	0	0	0	0	0	2	0
CVRK01000500.1	0	0	0	0	0	0	3	0
CVRK01000501.1	0	0	0	0	0	0	28	0
CVRK01000502.1	0	0	0	0	0	0	43	0
CVRK01000503.1	0	0	0	0	0	0	9	0
CVRK01000505.1	0	0	0	0	0	0	5	0
CVRK01000506.1	0	0	0	0	0	0	18	0
CVRK01000507.1	0	0	0	0	0	0	220	0
CVRK01000508.1	0	0	0	0	0	0	35	0
CVRK01000509.1	0	0	0	0	0	0	4	0
CVRK01000510.1	0	0	0	0	0	0	6	0
CVRK01000511.1	0	0	0	0	0	0	2	0
CVRK01000512.1	155	2	333	2	64	1	171	0
CVRK01000514.1	0	0	0	0	0	0	47	0
CVRK01000515.1	0	0	0	0	0	0	63	0
CVRK01000517.1	0	0	0	0	0	0	129	0
CVRK01000518.1	0	0	0	0	0	0	7	0
CVRK01000519.1	0	0	0	0	0	0	128	0
CVRK01000520.1	0	0	0	0	0	0	59	0
CVRK01000521.1	0	0	0	0	0	0	2	0
CVRK01000522.1	0	0	0	0	0	0	0	0
CVRK01000523.1	0	0	0	0	0	0	69	0
CVRK01000524.1	0	0	0	0	0	0	15	0
CVRK01000525.1	0	0	0	0	0	0	0	0
CVRK01000526.1	0	0	0	0	0	0	1	0
CVRK01000527.1	0	0	0	0	0	0	0	0
CVRK01000528.1	0	0	0	0	0	0	34	0
CVRK01000529.1	0	0	0	0	0	0	3	0
CVRK01000530.1	0	0	0	0	0	0	4	0
CVRK01000531.1	0	0	0	0	0	0	1	0
CVRK01000532.1	0	0	0	0	0	0	391	0
CVRK01000533.1	0	0	0	0	0	0	39	0
CVRK01000534.1	0	0	0	0	0	0	48	0
CVRK01000535.1	0	0	0	0	0	0	1	0
CVRK01000536.1	0	0	0	0	0	0	34	0
CVRK01000537.1	0	0	0	0	0	0	8	0
CVRK01000538.1	0	0	0	0	0	0	1	0
CVRK01000539.1	0	0	0	0	0	0	2	0
CVRK01000541.1	0	0	0	0	0	0	73	0
